                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4432,                 2.3515,                 1.6059,                 0.3988,                0.38716,                0.33081,                0.15117,                 1.7748,                 3.0666,                 2.2521,             0.00055242,             0.00055242,             0.00055242
                      2,                 1.5863,                 2.1244,                 1.7263,                0.27305,                0.32037,                0.22739,                0.07577,                 2.1706,                 3.0567,                 2.8408,              0.0010861,              0.0010861,              0.0010861
                      3,                 1.6581,                   2.07,                  1.792,                0.36608,                0.38842,                0.32434,                0.13667,                 1.9547,                 2.5659,                 2.2277,              0.0015979,              0.0015979,              0.0015979
                      4,                 1.6493,                 2.0035,                 1.7731,                0.30144,                0.28955,                0.18935,                0.07935,                 2.0217,                  3.427,                 2.3713,               0.001568,               0.001568,               0.001568
                      5,                 1.6137,                  1.918,                 1.7519,                0.31955,                0.33315,                0.23927,                0.10843,                 2.0642,                 3.9297,                 2.2504,               0.001568,               0.001568,               0.001568
                      6,                 1.5706,                 1.7859,                 1.7153,                0.54197,                0.50985,                0.51579,                0.23708,                 1.8925,                 1.9276,                 2.1808,               0.001535,               0.001535,               0.001535
                      7,                 1.5313,                 1.7131,                 1.6821,                0.70573,                0.54387,                  0.625,                0.30257,                 1.7006,                 1.6571,                 2.0035,               0.001502,               0.001502,               0.001502
                      8,                 1.5038,                 1.6236,                  1.654,                0.67421,                0.57305,                 0.6137,                0.33071,                 1.6043,                 1.6184,                  1.917,               0.001469,               0.001469,               0.001469
                      9,                 1.4676,                 1.5781,                 1.6313,                0.51348,                0.19513,                0.20246,                0.10093,                 2.0351,                 3.3547,                 2.4537,               0.001436,               0.001436,               0.001436
                     10,                  1.431,                 1.5112,                  1.596,                0.65102,                0.57951,                0.61981,                0.33591,                 1.6361,                 1.6112,                 1.9192,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4241,                 1.5081,                 1.5969,                0.78021,                0.62544,                0.69237,                0.38576,                 1.5575,                 1.4339,                 1.8683,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3931,                 1.4623,                  1.576,                0.78149,                0.64916,                0.71832,                0.39926,                 1.5366,                 1.3372,                 1.8377,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3858,                 1.4398,                 1.5749,                0.69288,                0.65196,                0.69205,                 0.4025,                 1.4915,                 1.3566,                 1.7961,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3726,                 1.3685,                 1.5641,                0.73491,                0.61334,                0.67602,                0.38541,                 1.5704,                 1.4494,                 1.8775,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.3547,                 1.3521,                 1.5427,                0.74007,                0.63002,                0.69604,                0.41072,                 1.4866,                 1.3291,                 1.7863,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.3396,                 1.2966,                 1.5258,                0.83039,                0.65809,                 0.7516,                 0.4462,                 1.4463,                 1.2529,                 1.7433,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3363,                 1.2972,                   1.53,                0.78633,                0.69223,                0.75392,                0.43313,                 1.5013,                 1.2302,                 1.8003,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3077,                 1.2818,                 1.5225,                0.80154,                0.64714,                0.72108,                0.42942,                 1.4715,                 1.2385,                 1.7517,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.2906,                 1.2193,                 1.4921,                 0.8048,                0.66868,                0.74865,                0.44402,                 1.4417,                 1.2477,                 1.7377,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2755,                 1.2134,                 1.4965,                0.78868,                0.69228,                 0.7584,                0.43698,                 1.4881,                 1.1584,                 1.7577,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2538,                 1.1751,                 1.4649,                0.80136,                0.71669,                0.76599,                0.45043,                 1.4124,                 1.1647,                 1.7275,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2617,                 1.1635,                 1.4601,                0.81224,                0.69827,                0.76238,                0.46712,                 1.3631,                 1.1362,                 1.6527,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2567,                 1.1448,                 1.4562,                0.79492,                0.70384,                0.75243,                0.46913,                 1.4098,                 1.1232,                 1.7065,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2235,                 1.1116,                 1.4397,                0.79582,                0.71772,                0.78108,                0.46226,                 1.4135,                 1.1009,                 1.7068,             0.00094085,             0.00094085,             0.00094085
                     25,                  1.218,                 1.1153,                 1.4358,                0.85683,                0.72603,                0.79728,                0.47932,                 1.4001,                 1.0413,                 1.6975,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2129,                 1.0913,                 1.4335,                0.82327,                0.69545,                0.77053,                0.47763,                  1.376,                  1.102,                 1.6825,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.1891,                  1.065,                 1.4137,                0.76592,                0.70162,                0.75681,                0.46966,                  1.402,                   1.13,                 1.7049,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1795,                 1.0363,                 1.4121,                0.83821,                 0.7196,                0.78778,                0.48129,                 1.3842,                 1.0494,                 1.6676,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1689,                   1.01,                 1.4099,                0.82061,                0.72068,                0.79201,                0.47887,                  1.367,                 1.0374,                 1.6531,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.1474,                 1.0018,                 1.3915,                0.80912,                0.70141,                0.75319,                0.46288,                  1.413,                  1.115,                 1.7262,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1317,                0.98404,                 1.3787,                0.85082,                0.71588,                0.79216,                0.50385,                 1.3552,                 1.0148,                 1.6433,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1239,                0.96064,                 1.3727,                0.87679,                0.69728,                0.79117,                0.48009,                  1.373,                 1.0372,                 1.6646,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1375,                0.95985,                 1.3811,                0.82323,                0.75065,                0.80394,                0.49317,                  1.348,                0.98033,                 1.6572,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1041,                0.92926,                 1.3421,                0.87259,                0.72373,                0.80452,                0.50744,                 1.3325,                 0.9816,                 1.6572,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1026,                0.93829,                 1.3688,                0.85812,                0.73772,                0.80023,                0.50326,                 1.3477,                0.96676,                 1.6402,             0.00057778,             0.00057778,             0.00057778
                     36,                  1.078,                0.90202,                 1.3417,                0.86631,                  0.722,                0.79113,                0.48419,                 1.3635,                 1.0053,                 1.6639,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0713,                  0.906,                 1.3366,                0.85511,                0.71957,                0.79767,                0.49012,                 1.3652,                 0.9616,                 1.6726,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0686,                0.87986,                 1.3197,                0.85849,                0.73484,                 0.8033,                0.50518,                 1.3498,                0.98708,                 1.6538,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0527,                0.88267,                 1.3219,                0.84116,                0.75543,                0.81705,                0.51969,                 1.3247,                0.95005,                 1.6358,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0465,                0.86409,                 1.3113,                 0.8453,                0.75735,                0.81022,                0.51734,                 1.3188,                0.95174,                 1.6271,             0.00041275,             0.00041275,             0.00041275
                     41,                0.96831,                0.67878,                 1.2937,                0.86879,                 0.7315,                0.81558,                0.51329,                  1.318,                0.92961,                 1.6261,             0.00037974,             0.00037974,             0.00037974
                     42,                0.92514,                0.62561,                  1.268,                  0.895,                0.73049,                0.82509,                0.52357,                  1.279,                0.92583,                 1.5926,             0.00034674,             0.00034674,             0.00034674
                     43,                0.90617,                0.61909,                 1.2507,                0.86788,                0.74531,                0.82315,                0.53136,                 1.2873,                0.92906,                 1.5954,             0.00031373,             0.00031373,             0.00031373
                     44,                0.89374,                0.59385,                 1.2423,                0.87399,                0.73222,                0.82698,                0.52236,                  1.295,                0.92778,                 1.6119,             0.00028072,             0.00028072,             0.00028072
                     45,                0.87713,                0.56974,                 1.2186,                0.85707,                0.74524,                 0.8189,                0.52837,                 1.2693,                0.92581,                 1.5957,             0.00024772,             0.00024772,             0.00024772
                     46,                0.85525,                 0.5557,                 1.2089,                0.91007,                0.71255,                0.81641,                0.52227,                 1.2923,                0.92694,                 1.6275,             0.00021471,             0.00021471,             0.00021471
                     47,                0.83063,                0.53678,                 1.1875,                0.83336,                0.76123,                0.81752,                0.51977,                 1.3042,                  0.947,                 1.6487,              0.0001817,              0.0001817,              0.0001817
                     48,                0.81263,                0.53339,                 1.1844,                 0.8661,                0.74454,                0.82013,                0.52514,                 1.2854,                0.95487,                 1.6149,              0.0001487,              0.0001487,              0.0001487
                     49,                0.80771,                0.52423,                 1.1809,                0.89198,                0.73888,                0.82556,                   0.53,                 1.2785,                0.93012,                 1.6207,             0.00011569,             0.00011569,             0.00011569
                     50,                0.79828,                 0.5109,                 1.1683,                0.88306,                0.74453,                0.82402,                0.53213,                  1.283,                0.92128,                  1.632,             8.2683e-05,             8.2683e-05,             8.2683e-05
